timestamp,seed_value,dataset,algorithm,time_steps,delay_threshold,prov_time_threshold,current_step,elapsed_time,overall_edge_server_overloaded,sum_overall_power_consumption,avg_overall_power_consumption,latency_sla_violations,number_of_migrations,provisioning_time_sla_violations,energy_consumption_kwh,norm_energy_consumption_kwh,norm_latency_sla_violations,norm_provisioning_time_sla_violations,norm_cost
1717947037,1,datasets/dataset1.json,temp_et_al,3600,0.8,0.7,3601,121.04241681098938,0,54198865.06875,15051.059447028603,43692.0,204,73.0,15.055240296875,0.5306920016218867,0.39287218805291096,0.6,1.5235641896747976
1717947046,1,datasets/dataset1.json,temp_et_al,3600,0.8,0.8,3601,129.35321021080017,0,56070563.30625,15570.831243057484,47891.0,205,71.0,15.575156473958334,0.7046976858001395,0.5107984385092819,0.5636363636363636,1.7791324879457848
1717947046,1,datasets/dataset1.json,temp_et_al,3600,0.8,0.9,3601,117.35476469993591,0,55420596.0125,15390.334910441545,47405.0,207,73.0,15.394610003472224,0.6442723451247542,0.4971494369084731,0.6,1.7414217820332274
1717947082,1,datasets/dataset1.json,temp_et_al,3600,0.8,1.0,3601,141.02008843421936,0,55068128.76875,15292.4545317273,44349.0,212,71.0,15.296702435763889,0.6115046143707509,0.41132361614289326,0.5636363636363636,1.5864645941500077
1717947089,1,datasets/dataset1.json,temp_et_al,3600,0.9,0.8,3601,85.13980674743652,0,53126788.14375,14753.343000208277,51741.0,182,76.0,14.757441151041666,0.4310245044320021,0.6189232454292696,0.6545454545454545,1.7044932044067262
1717947096,1,datasets/dataset1.json,temp_et_al,3600,0.9,0.7,3601,88.44026160240173,0,52951978.84375,14704.79834594557,44187.0,177,66.0,14.708883012152778,0.4147730536170195,0.40677394894262364,0.4727272727272727,1.2942742752869159
1717947106,1,datasets/dataset1.json,temp_et_al,3600,0.9,1.0,3601,71.57384037971497,0,51195138.21875,14216.922582268817,48359.0,182,76.0,14.220871727430556,0.2514453072845796,0.523941921532283,0.6545454545454545,1.4299326833623172
1717947108,1,datasets/dataset1.json,temp_et_al,3600,0.9,0.9,3601,77.08784222602844,0,53126788.14375,14753.343000208277,51741.0,182,76.0,14.757441151041666,0.4310245044320021,0.6189232454292696,0.6545454545454545,1.7044932044067262
1717947126,1,datasets/dataset1.json,temp_et_al,3600,1.0,0.6,3601,81.28782892227173,0,48490457.9625,13465.83114759789,30257.0,196,54.0,13.46957165625,0.0,0.015558738450304716,0.2545454545454545,0.2701041929957592
1717947157,1,datasets/dataset1.json,temp_et_al,3600,1.0,0.8,3601,93.11394715309144,0,51451216.5875,14288.03570883088,35572.0,178,47.0,14.292004607638889,0.2752520785176987,0.1648271407307552,0.12727272727272726,0.5673519465211811
1717947159,1,datasets/dataset1.json,temp_et_al,3600,1.0,0.5,3601,107.41919779777528,0,52424541.66875,14558.328705567896,37263.0,158,40.0,14.56237268576389,0.36573893868431273,0.21231780267924846,0.0,0.5780567413635612
1717947172,1,datasets/dataset1.json,temp_et_al,3600,1.0,0.7,3601,107.60062885284424,0,52088305.525,14464.955713690642,29703.0,185,44.0,14.468973756944443,0.3344801603906362,0.0,0.07272727272727272,0.40720743311790897
1717947172,1,datasets/dataset1.json,temp_et_al,3600,1.0,0.9,3601,85.90596008300781,0,50620243.9625,14057.274080116636,33951.0,163,42.0,14.061178878472221,0.19799926219851652,0.11930238436262533,0.03636363636363636,0.3536652829247782
1717947181,1,datasets/dataset1.json,temp_et_al,3600,1.0,1.0,3601,81.67345333099365,0,50623302.4125,14058.1234136351,30225.0,175,45.0,14.062028447916667,0.19828359632573497,0.014660038756424298,0.09090909090909091,0.3038527259912502
