timestamp,seed_value,dataset,algorithm,time_steps,delay_threshold,prov_time_threshold,current_step,elapsed_time,overall_edge_server_overloaded,sum_overall_power_consumption,avg_overall_power_consumption,latency_sla_violations,number_of_migrations,provisioning_time_sla_violations,energy_consumption_kwh,norm_energy_consumption_kwh,norm_latency_sla_violations,norm_provisioning_time_sla_violations,norm_cost
1717945526,1,datasets/dataset1.json,maper,3600,0.8,1.0,3601,92.2561013698578,0,48608015.575,13498.476971674534,41863.0,249,65.0,13.502226548611112,0.46422621218748106,0.6955923406597727,0.34,1.4998185528472538
1717945551,1,datasets/dataset1.json,maper,3600,0.8,0.5,3601,136.80056405067444,0,52942454.23125,14702.153354970842,37243.0,249,65.0,14.706237286458334,0.8414939047228354,0.5139385837297998,0.34,1.6954324884526353
1717945560,1,datasets/dataset1.json,maper,3600,0.8,0.8,3601,130.2501356601715,0,51627827.20625,14337.080590460982,30773.0,280,66.0,14.341063112847221,0.7270693289934692,0.2595446860378249,0.36,1.3466140150312942
1717945567,1,datasets/dataset1.json,maper,3600,0.8,0.6,3601,141.43244910240173,0,53965308.56875,14986.200657803389,38666.0,251,66.0,14.990363491319444,0.9305227101373431,0.5698895136240317,0.36,1.860412223761375
1717945567,1,datasets/dataset1.json,maper,3600,0.8,0.7,3601,150.69866251945496,0,51449539.66875,14287.570027422938,33717.0,262,67.0,14.291538796875,0.7115512577471625,0.3752998073369245,0.38,1.4668510650840871
1717945583,1,datasets/dataset1.json,maper,3600,0.9,0.5,3601,90.13588237762453,0,43274508.15,12017.358553179673,24172.0,241,61.0,12.020696708333332,0.0,0.0,0.26,0.26
1717945599,1,datasets/dataset1.json,maper,3600,0.9,0.6,3601,90.93381190299988,0,45355150.23125,12595.154188072758,33247.0,198,55.0,12.59865284201389,0.18109819961421827,0.3568198796838753,0.14,0.6779180792980936
1717945616,1,datasets/dataset1.json,maper,3600,0.9,0.8,3601,87.33752298355103,0,44780806.56875,12435.658586156624,32286.0,214,55.0,12.43911293576389,0.13110757211710558,0.31903432548264066,0.14,0.5901418975997462
1717945618,1,datasets/dataset1.json,maper,3600,0.9,0.7,3601,97.69179940223694,0,45263140.425,12569.603006109412,33145.0,216,56.0,12.5730945625,0.17308970530907675,0.3528093421932135,0.16,0.6858990475022902
1717945645,1,datasets/dataset1.json,maper,3600,0.9,0.9,3601,101.42204093933104,0,43990213.10625,12216.11027665926,25570.0,212,53.0,12.219503640625001,0.062294654231919024,0.05496795501906971,0.1,0.21726260925098873
1717945648,1,datasets/dataset1.json,maper,3600,1.0,0.5,3601,80.876384973526,0,46619955.49375,12946.391417314637,35116.0,171,49.0,12.949987637152777,0.29118631037843357,0.43030708135100065,0.02,0.7414933917294342
1717945651,1,datasets/dataset1.json,maper,3600,1.0,0.6,3601,76.00826668739319,0,45098281.93125,12523.821697098028,37524.0,192,59.0,12.527300536458332,0.1587404923049349,0.5249872213266229,0.22,0.9037277136315578
1717945653,1,datasets/dataset1.json,maper,3600,0.9,1.0,3601,97.30400562286376,0,44948637.39375,12482.265313454596,28747.0,224,58.0,12.485732609374999,0.14571549556591332,0.17988440215468093,0.2,0.5255998977205942
1717945663,1,datasets/dataset1.json,maper,3600,1.0,0.7,3601,72.69011998176575,0,44109520.83125,12249.242108094972,32673.0,199,53.0,12.252644675347222,0.07267914774585696,0.3342507765501514,0.1,0.5069299242960084
1717945677,1,datasets/dataset1.json,maper,3600,1.0,0.8,3601,70.64661526679993,0,46431896.13125,12894.167212232713,37127.0,174,51.0,12.897748925347223,0.2748177036506076,0.5093775803090473,0.06,0.8441952839596549
1717945690,1,datasets/dataset1.json,maper,3600,1.0,0.9,3601,80.02952599525452,0,47670224.34375,13238.051747778394,35021.0,189,48.0,13.241728984375,0.3826012632720262,0.42657177682538433,0.0,0.8091730400974105
1717945699,1,datasets/dataset1.json,maper,3600,1.0,1.0,3601,77.54378080368042,0,47670224.34375,13238.051747778394,35021.0,189,48.0,13.241728984375,0.3826012632720262,0.42657177682538433,0.0,0.8091730400974105
